Ticket,Nome da Empresa
NESN.SW,NESTLE
NOVN.SW,NOVARTIS
ROG.SW,ROCHE HLDG P
HSBA.L,HSBC
TTE.PA,TOTAL
BATS.L,BRITISH AMERICAN TOBACCO
NOVO-B.CO,NOVO NORDISK B
GSK.L,GLAXOSMITHKLINE
SHEL.L,ROYAL DUTCH SHELL A
SAN.PA,SANOFI
BP.L,BP
ABI.BR,ANHEUSER-BUSCH INBEV
BAYN.DE,BAYER
VOD.L,VODAFONE GRP
SIE.DE,SIEMENS
SAP.DE,SAP
MBG.DE,DAIMLER
ALV.DE,ALLIANZ
AZN.L,ASTRAZENECA
UNA.AS,UNILEVER NV
SAN.MC,BCO SANTANDER
BAS.DE,BASF
DGE.L,DIAGEO
LLOY.L,LLOYDS BANKING GRP
RKT.L,RECKITT BENCKISER GRP
SAB.L,SABMILLER
UBSG.SW,UBS GROUP
ULVR.L,UNILEVER PLC
BNP.PA,BNP PARIBAS
BT-A.L,BT GRP
DTE.DE,DEUTSCHE TELEKOM
NG.L,NATIONAL GRID
IMB.L,IMPERIAL BRANDS
CS.PA,AXA
PRU.L,PRUDENTIAL
INGA.AS,ING GRP
TEF.MC,TELEFONICA
MC.PA,LVMH MOET HENNESSY
BBVA.MC,BCO BILBAO VIZCAYA ARGENTARIA
OR.PA,L'OREAL
BN.PA,DANONE
ABBN.SW,ABB
DG.PA,VINCI
ISP.MI,INTESA SANPAOLO
AIR.PA,AIRBUS GROUP SE
BARC.L,BARCLAYS
ENI.MI,ENI
IBE.MC,IBERDROLA
SYNN.SW,SYNGENTA
AI.PA,AIR LIQUIDE
SU.PA,SCHNEIDER ELECTRIC
ASML.AS,ASML HLDG
ORA.PA,ORANGE
RIO.L,RIO TINTO
ITX.MC,Industria de Diseno Textil SA
ZURN.SW,ZURICH INSURANCE GROUP
CFR.SW,CIE FINANCIERE RICHEMONT
NOKIA.HE,NOKIA
GLE.PA,GRP SOCIETE GENERALE
NDA-SE.ST,NORDEA BANK
SHP.L,SHIRE
SREN.SW,SWISS REINSURANCE COMPANY
HM-B.ST,HENNES & MAURITZ B
ENEL.MI,ENEL
MUV2.DE,MUENCHENER RUECK
WPP.L,WPP
ERIC-B.ST,ERICSSON LM B
BMW.DE,BMW
CPG.L,COMPASS GRP
AV.L,AVIVA
GLEN.L,GLENCORE PLC
FRE.DE,FRESENIUS
URW.AS,UNIBAIL-RODAMCO
PHIA.AS,PHILIPS
DBK.DE,DEUTSCHE BANK
EL.PA,ESSILOR INTERNATIONAL
DHL.DE,DEUTSCHE POST
ENGI.PA,ENGIE
BHL.L,BHP BILLITON
VIV.PA,VIVENDI
UCG.MI,UNICREDIT
LIN.DE,LINDE
VOW3.DE,VOLKSWAGEN PREF
CSGN.SW,CREDIT SUISSE GRP
RI.PA,PERNOD RICARD
SAMPO.HE,SAMPO
CON.DE,CONTINENTAL
ADS.DE,ADIDAS
SAF.PA,SAFRAN
CRH.IR,CRH
BA.L,BAE SYSTEMS
SSE.L,SCOTTISH & SOUTHERN ENERGY
TSCO.L,TESCO
